EMS,EcoPost,Country
,X,Abu Dhabi (see UAE)
,X,Admiralty Islands (see Papua)
4,X,Uganda
4,X,Uzbekistan
,X,Umm Al Quwain (see UAE)
3,2,Austria
2,4,Australia
10,X,Ukraine
6,X,Uruguay
10,X,Azores (Isles)
4,X,Azerbaijan
3,X,United Arab Emirates
3,2,Italy
7,X,Indonesia
13,X,Iceland
3,1,Ireland
,X,Iran (No service)
6,X,El Salvador
10,X,Albania
,X,Algeria (No service except letters)
,X,Åland Islands (see Finland)
,X,Alaska (see USA)
7,X,Angola
X,X,Anguilla
10,X,Andorra
X,X,Andaman Islands (see India)
X,X,Antigua and Barbuda
4,X,Netherlands Antilles (see Curaçao)
4,X,Estonia
X,X,Ascension (Isle)
X,X,Afghanistan
6,X,Ecuador
6,X,Argentina
4,X,Aruba (Isle)
X,X,Eritrea
4,X,Armenia
1,1,USA
10,X,Ethiopia
9,X,Bahamas (Isles)
5,X,Bhutan
,X,Bougainville (Isle) (see Papua)
10,X,Bulgaria
8,X,Bolivia
,X,Bonaire (Isle) (see Netherlands Antilles)
10,X,Bosnia and Herzegovina
X,X,Bophuthatswana (see South Africa)
2,X,Botswana
,X,Buka (Isle) (see Papua)
2,X,Burundi
,X,Burma (see Myanmar)
6,X,Burkina Faso
3,X,Bahrain
X,X,Bismarck Archipelago (see Papua)
3,2,Belgium
,X,Balearic Islands (see Spain)
X,X,Belize
10,X,Belarus
4,X,Bangladesh
8,X,Benin
X,X,Banks and Torres Islands (see Vanuatu)
4,X,Barbados
X,X,Barbuda (see Antigua and Barbuda)
X,X,Brunei Darussalam
6,2,Brazil
3,2,Great Britain and Northern Ireland
5,X,Bermuda (Isles)
4,X,Djibouti
9,X,Gibraltar
6,X,Jamaica
,X,Jersey (Isle) (see UK)
5,X,Ghana
8,X,Gabon
10,X,Guadeloupe
6,X,Guatemala
7,X,Guam (Isle)
9,X,Guyana
10,X,French Guiana
6,X,Guinea
2,X,Guinea-Bissau
X,X,Equatorial Guinea
X,X,Gambia
X,X,Gambier (Isles) (see French Polynesia)
12,X,Georgia
9,X,Greenland (see Denmark)
3,2,Germany
X,X,Grenada (Isle)
X,X,Guernsey (see UK)
,,Dubai (see UAE)
,X,Dodecanese (Isles) (see Greece)
,X,Dominica (Isle)
4,X,Dominican Republic
13,3,Denmark
2,X,South Africa
5,X,Haiti
4,X,India
,X,Hawaii (Isles) (see USA)
3,2,Netherlands
5,2,Hong Kong
3,X,Hungary
7,X,Honduras
X,X,Heard (Isle) (see Australia)
10,X,Vatican City
6,X,Vietnam
,X,Wake (Isle) (see USA)
,X,USA Virgin Islands (see USA)
X,X,British Virgin Islands (Tortola)
X,X,Wallis and Futuna (Isles)
6,X,Vanuatu (Isles)
6,X,Venezuela
,X,Zaire (see DR Congo)
4,X,Zimbabwe
6,X,Zambia
,X,Zanzibar (see Tanzania)
6,X,Cote d'Ivoire
9,X,Tajikistan
,X,Tahiti (Isle) (see French Polynesia)
X,X,Tuamotus (Isles) (see French Polynesia)
,X,Tobago (Isle) (see Trinidad & Tobago)
X,X,Tuvalu (Isles)
6,X,Togo
X,X,Tonga (Friendly Islands)
,X,Tokelau (Isles) (see New Zealand)
X,X,Tortola (Isle) (see British Virgin Islands)
X,X,Torres Islands (see Vanuatu)
10,X,Turkmenistan
X,X,Turks and Caicos (Isles)
4,X,Tibet (see China PR)
